Date,Close/Last,Volume,Open,High,Low
10/22/2021,$240.40,24170920,$243.73,$246.66,$239.75
10/21/2021,$243.21,42508930,$258.61,$258.96,$242.98
10/20/2021,$258.36,31271740,$273.00,$273.51,$253.10
10/19/2021,$271.70,3985909,$271.01,$273.27,$269.835
10/18/2021,$270.33,4367137,$266.39,$270.44,$264.71
10/15/2021,$268.35,5007867,$268.7006,$269.7209,$265.44
10/14/2021,$266.45,7855106,$261.50,$267.41,$260.20
10/13/2021,$256.36,6024050,$258.73,$261.24,$254.245
10/12/2021,$255.85,4289324,$256.00,$257.97,$253.78
10/11/2021,$255.05,5031650,$257.93,$260.66,$254.69
10/08/2021,$260.06,4095908,$264.955,$265.47,$259.80
10/07/2021,$263.54,5276445,$265.95,$268.6933,$263.07
10/06/2021,$264.06,4615285,$256.29,$264.39,$256.03
10/05/2021,$260.15,6326587,$255.22,$262.77,$253.59
10/04/2021,$255.01,7267168,$261.838,$262.57,$251.59
10/01/2021,$264.65,4560448,$261.455,$265.82,$260.11
09/30/2021,$260.21,5329257,$259.65,$263.47,$258.73
09/29/2021,$259.00,6829064,$263.51,$264.46,$256.89
09/28/2021,$262.19,8352372,$269.895,$271.44,$261.68
09/27/2021,$273.39,4614852,$274.78,$276.78,$272.1855
09/24/2021,$278.11,3985813,$276.02,$278.33,$274.69
09/23/2021,$279.10,5409581,$274.45,$279.95,$273.78
09/22/2021,$272.34,5574070,$270.46,$273.47,$266.50
09/21/2021,$269.49,4326076,$271.75,$272.2986,$267.80
09/20/2021,$269.91,7728307,$271.55,$273.00,$265.68
09/17/2021,$276.34,8117226,$282.18,$282.50,$275.92
09/16/2021,$282.97,3606742,$281.04,$283.69,$280.39
09/15/2021,$282.43,4056783,$284.21,$285.75,$279.50
09/14/2021,$282.24,4216695,$281.844,$283.17,$279.71
09/13/2021,$280.49,4836471,$286.72,$287.19,$277.80
09/10/2021,$284.32,3816588,$288.60,$289.00,$284.11
09/09/2021,$286.88,4169970,$287.45,$289.37,$285.08
09/08/2021,$285.23,11039280,$296.55,$296.70,$283.33
09/07/2021,$293.26,6789751,$290.41,$293.68,$288.04
09/03/2021,$289.13,5287970,$285.03,$290.38,$284.40
09/02/2021,$285.53,4647112,$288.90,$288.90,$285.25
09/01/2021,$286.75,5568281,$290.10,$290.90,$286.36
08/31/2021,$288.66,8911799,$290.93,$292.65,$284.34
08/30/2021,$288.47,14631050,$279.61,$290.406,$279.08
08/27/2021,$278.33,3916952,$274.03,$278.89,$273.67
08/26/2021,$273.62,3626405,$277.89,$278.68,$273.52
08/25/2021,$277.69,4392583,$279.8157,$279.8296,$276.77
08/24/2021,$279.51,3542641,$278.93,$279.58,$276.5086
08/23/2021,$276.98,5507500,$275.75,$278.29,$273.02
08/20/2021,$272.96,4179531,$269.54,$273.935,$269.54
08/19/2021,$270.58,5119910,$267.19,$272.0099,$266.6033
08/18/2021,$268.84,4830905,$271.01,$272.77,$268.48
08/17/2021,$271.10,7966077,$275.25,$275.545,$269.08
08/16/2021,$278.28,5285791,$273.73,$279.19,$273.56
08/13/2021,$274.91,4097209,$276.17,$276.81,$274.61
08/12/2021,$274.59,4513787,$274.25,$276.805,$273.06
08/11/2021,$276.41,5785928,$277.442,$278.235,$273.13
08/10/2021,$274.37,6264118,$278.94,$280.49,$272.50
08/09/2021,$278.15,3822996,$280.22,$281.10,$277.46
08/06/2021,$279.54,6086327,$280.00,$282.3699,$276.87
08/05/2021,$280.67,7354195,$277.10,$280.96,$275.82
08/04/2021,$275.50,6616877,$274.0711,$276.0931,$270.67
08/03/2021,$273.50,8323049,$272.06,$274.54,$269.57
08/02/2021,$270.99,10082820,$276.885,$276.885,$270.4302
07/30/2021,$275.53,11693280,$280.245,$280.50,$274.21
07/29/2021,$283.17,18236970,$285.37,$289.00,$281.60
07/28/2021,$301.98,9184958,$300.74,$302.43,$296.78
07/27/2021,$300.48,6938396,$305.50,$306.34,$294.89
07/26/2021,$306.80,3805925,$309.66,$310.16,$305.23
07/23/2021,$308.53,4231088,$305.76,$309.475,$304.20
07/22/2021,$303.69,3601476,$302.021,$304.57,$301.87
07/21/2021,$301.77,5497140,$296.49,$301.83,$296.20
07/20/2021,$298.07,5424096,$295.515,$300.03,$291.57
07/19/2021,$294.85,5681478,$292.35,$295.0693,$288.81
07/16/2021,$294.63,4268899,$297.23,$298.75,$294.44
07/15/2021,$296.51,4943528,$300.86,$301.18,$294.14
07/14/2021,$300.75,4848213,$303.01,$304.81,$299.3301
07/13/2021,$301.19,7235032,$302.19,$307.82,$298.75
07/12/2021,$302.97,5455983,$302.37,$303.50,$298.56
07/09/2021,$300.21,5543262,$296.41,$300.83,$295.00
07/08/2021,$295.05,5911952,$292.10,$295.8651,$289.46
07/07/2021,$297.13,6713925,$294.90,$299.3087,$291.91
07/06/2021,$292.64,5043522,$290.035,$294.526,$289.52
07/02/2021,$290.24,4171502,$290.94,$292.4299,$288.92
07/01/2021,$289.00,5652486,$290.33,$291.90,$285.76
06/30/2021,$291.48,4235983,$291.53,$292.6999,$289.51
06/29/2021,$292.76,4333201,$292.97,$295.18,$291.53
06/28/2021,$293.65,5058605,$290.85,$294.26,$289.78
06/25/2021,$289.60,6616873,$292.60,$292.87,$287.80
06/24/2021,$293.21,7160286,$290.18,$296.01,$289.64
06/23/2021,$288.12,4966741,$285.94,$288.55,$284.78
06/22/2021,$286.75,6049410,$281.70,$287.46,$280.22
06/21/2021,$283.10,7287754,$283.279,$284.305,$276.725
06/18/2021,$283.38,14713400,$275.30,$286.38,$274.86
06/17/2021,$278.11,8071052,$268.50,$279.3718,$268.46
06/16/2021,$268.82,6874616,$271.4502,$275.1603,$265.3099
06/15/2021,$271.89,5371069,$274.73,$274.73,$270.68
06/14/2021,$274.93,5174233,$271.90,$274.97,$270.60
06/11/2021,$271.45,4494584,$268.75,$271.8999,$268.40
06/10/2021,$269.47,6055717,$263.07,$269.65,$261.69
06/09/2021,$263.60,4652997,$265.00,$268.1994,$263.26
06/08/2021,$263.15,4427016,$261.574,$264.55,$260.565
06/07/2021,$260.60,3979778,$262.48,$262.94,$260.19
06/04/2021,$263.04,4086113,$259.514,$263.46,$259.15
06/03/2021,$257.79,4947147,$258.40,$260.98,$256.15
06/02/2021,$262.17,6801808,$260.48,$264.7799,$259.58
06/01/2021,$259.27,5869632,$261.08,$263.42,$256.52
05/28/2021,$260.02,4281832,$261.07,$263.15,$259.87
05/27/2021,$259.47,7051206,$259.86,$260.64,$256.28
05/26/2021,$261.37,5405262,$259.78,$262.32,$259.16
05/25/2021,$258.65,6048116,$258.50,$260.37,$257.2801
05/24/2021,$257.17,6370095,$254.13,$257.60,$252.43
05/21/2021,$250.69,6842155,$253.801,$255.21,$250.41
05/20/2021,$251.54,8112928,$246.99,$252.93,$245.35
05/19/2021,$244.63,7210456,$235.86,$245.34,$235.11
05/18/2021,$243.21,4726795,$243.50,$247.435,$242.655
05/17/2021,$244.36,5175465,$245.15,$246.24,$240.60
05/14/2021,$246.29,6729725,$244.019,$247.12,$242.27
05/13/2021,$240.80,7274043,$241.92,$245.68,$237.80
05/12/2021,$239.91,8649753,$240.589,$246.50,$238.82
05/11/2021,$248.60,9258171,$235.00,$250.5553,$233.61
05/10/2021,$243.63,8909232,$252.015,$252.41,$243.45
05/07/2021,$253.36,10170020,$255.92,$258.64,$251.64
05/06/2021,$252.02,17998730,$256.00,$256.3094,$245.11
05/05/2021,$247.40,9507304,$254.92,$254.92,$246.245
05/04/2021,$250.16,9217267,$255.73,$256.80,$246.6501
05/03/2021,$259.09,7522024,$265.06,$265.80,$256.18
04/30/2021,$262.29,6594463,$265.00,$266.1499,$261.60
04/29/2021,$267.85,5663677,$273.26,$273.87,$263.53
04/28/2021,$271.09,5530309,$268.758,$275.25,$267.17
04/27/2021,$268.82,4296187,$272.05,$273.82,$268.03
04/26/2021,$271.72,5327779,$266.66,$271.75,$265.92
04/23/2021,$266.03,6299063,$260.97,$267.79,$260.97
